Source URL,Target URL,Redirect Type,Ignore Slash,Ignore Case,Regex
/bn/postal-code-reem-island-abu-dhabi/,https://inspireambitions.com/reem-island-postal-code-abu-dhabi/,301,1,1,0
/stc-balance-check-kuwait/,https://inspireambitions.com/how-to-check-stc-balance-in-kuwait/,301,1,1,0
/best-cities-for-students-and-internships-2/,https://inspireambitions.com/best-cities-for-students-and-internships/,301,1,1,0
/best-car-to-buy-in-uae-for-daily-dubai-commutes-2/,https://inspireambitions.com/best-car-to-buy-in-uae-for-daily-dubai-commutes/,301,1,1,0
/dubai-company-jobs-online-2/,https://inspireambitions.com/dubai-company-jobs-online/,301,1,1,0
/how-are-you-inspired-by-america-2/,https://inspireambitions.com/how-are-you-inspired-by-america/,301,1,1,0
/how-to-answer-what-motivates-you-job-interview-2/,https://inspireambitions.com/how-to-answer-what-motivates-you-job-interview/,301,1,1,0
/how-to-politely-decline-a-job-interview-2/,https://inspireambitions.com/how-to-politely-decline-a-job-interview/,301,1,1,0
/how-to-write-a-job-interview-letter-2/,https://inspireambitions.com/how-to-write-a-job-interview-letter/,301,1,1,0
/virtual-internships-for-high-school-students-2/,https://inspireambitions.com/virtual-internships-for-high-school-students/,301,1,1,0
/5-steps-to-success-in-life-uncover-a-fulfilling-path-forward/,https://inspireambitions.com/steps-of-success-a-clear-guide-to-achieving-your-goals/,301,1,1,0
/seven-work-hacks-to-smoothly-run-your-job/,https://inspireambitions.com/life-hacks-for-office-workers/,301,1,1,0
/spa-and-resort-saadiyat-abu-dhabi-a-luxurious-retreat-guide/,https://inspireambitions.com/best-spa-saadiyat-island/,301,1,1,0
/free-career-templates/,https://inspireambitions.com/category/career-hub/free-career-templates-career-hub/,301,1,1,0
/saadiyat-beach-and-villas-luxury-coastal-living-in-spotlight/,https://inspireambitions.com/saadiyat-beach-and-villas/,301,1,1,0
/contact-kim-hanks/,https://inspireambitions.com/contact-me/,301,1,1,0
/senior-quotes,/senior-quotes/,301,1,1,0
/how-to-introduce-in-a-job-interview/,/how-to-properly-introduce-yourself-in-a-job-interview/,301,1,0,0
/how-can-i-introduce-myself-in-a-job-interview/,/how-to-properly-introduce-yourself-in-a-job-interview/,301,1,0,0
/how-to-do-self-introduction-in-job-interview/,/how-to-properly-introduce-yourself-in-a-job-interview/,301,1,0,0
/what-are-your-strengths-and-weaknesses-job-interview-sample-answer/,/gcc-interview-answers/greatest-weakness/,301,1,0,0
/what-are-my-weaknesses-for-job-interview/,/what-is-your-weakness-for-job-interview/,301,1,0,0
/what-are-good-strengths-and-weaknesses-for-a-job-interview/,/what-are-good-strengths-to-have-for-a-job-interview/,301,1,0,0
