Source URL,Target URL,Redirect Type,Ignore Slash,Ignore Case,Regex
/dubai-salary-guide-2026/,/uae-salary-guide/,301,Yes,Yes,No
/cost-of-living-in-dubai-a-comprehensive-guide/,/uae-salary-guide/,301,Yes,Yes,No
/family-of-4-cost-of-living-dubai-aed-25000-2026/,/uae-salary-guide/,301,Yes,Yes,No
/accountant-salary-dubai/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/accountant-salary-dubai-2026/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/civil-engineer-salary-dubai/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/civil-engineer-salary-dubai-2026/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/chief-engineer-salary-dubai/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/data-analyst-salary-dubai-2026/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/dentist-salary-dubai/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/dubai-nurse-salary-2026/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/dubai-teacher-salary-2026/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/executive-chef-salary-dubai/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/executive-chef-salary-uae/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/executive-sous-chef-salary-dubai/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/executive-housekeeper-salary-dubai/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/duty-manager-salary-dubai/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/front-office-manager-salary-dubai/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/front-office-manager-salary-uae/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/food-beverage-manager-salary-dubai/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/f-and-b-manager-salary-uae/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/finance-manager-salary-dubai/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/finance-manager-salary-dubai-2026/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/financial-analyst-salary-dubai/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/financial-controller-salary-dubai/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/general-manager-salary-uae/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/director-of-sales-salary-dubai/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/compliance-manager-salary-difc-dubai-2026/,/uae-salary-guide/by-role/,301,Yes,Yes,No
/dubai-tech-salary-benchmarks-2026/,/uae-salary-guide/by-sector/,301,Yes,Yes,No
/dubai-tech-salary-guide-2026-software-engineer-cto/,/uae-salary-guide/by-sector/,301,Yes,Yes,No
/dubai-finance-banking-salary-guide-2026/,/uae-salary-guide/by-sector/,301,Yes,Yes,No
/dubai-healthcare-salary-guide-2026/,/uae-salary-guide/by-sector/,301,Yes,Yes,No
/dubai-healthcare-careers-salary-guide-2026/,/uae-salary-guide/by-sector/,301,Yes,Yes,No
/dubai-hospitality-hotel-salary-guide-2026/,/uae-salary-guide/by-sector/,301,Yes,Yes,No
/dubai-hotel-salary-guide-2026/,/uae-salary-guide/by-sector/,301,Yes,Yes,No
/dubai-hr-people-operations-salary-guide-2026/,/uae-salary-guide/by-sector/,301,Yes,Yes,No
/dubai-construction-real-estate-salary-guide-2026/,/uae-salary-guide/by-sector/,301,Yes,Yes,No
/difc-vs-mainland-dubai-salary-2026/,/uae-salary-guide/by-sector/,301,Yes,Yes,No
/ai-engineer-salary-negotiation-dubai-2026/,/uae-salary-guide/negotiating-your-offer/,301,Yes,Yes,No
/can-you-ask-about-salary-at-a-job-interview/,/uae-salary-guide/negotiating-your-offer/,301,Yes,Yes,No
/basic-salary-vs-total-package-uae-what-nobody-in-hr-will-tell-you/,/uae-salary-guide/what-the-band-hides/,301,Yes,Yes,No
/abu-dhabi-vs-dubai-cost-of-living-2026/,/uae-salary-guide/what-the-band-hides/,301,Yes,Yes,No
/cost-of-living-in-abu-dhabi/,/uae-salary-guide/what-the-band-hides/,301,Yes,Yes,No
/cost-of-living-dubai-african-expats/,/uae-salary-guide/what-the-band-hides/,301,Yes,Yes,No
/bahrain-vs-uae-salary-comparison-2026/,/uae-salary-guide/what-the-band-hides/,301,Yes,Yes,No
